coltura,dicitura,bbch_min,bbch_max,verifica
PESCO,da scamiciatura ad inizio sviluppo frutti,71,73,due_letture_concordi
PESCO,fine allegagione – scamiciatura,71,73,due_letture_concordi
PESCO,fioritura,60,69,due_letture_concordi
PESCO,fioritura – caduta petali,60,69,due_letture_concordi
PESCO,fioritura – inizio caduta petali,60,69,due_letture_concordi
PESCO,gemma ferma – inizio rottura gemma a legno,0,3,due_letture_concordi
PESCO,indurimento nocciolo – ingrossamento frutti,71,79,due_letture_concordi
PESCO,ingrossamento frutti,71,79,due_letture_concordi
PESCO,ingrossamento frutti – maturazione,71,89,due_letture_concordi
PESCO,ingrossamento frutto,71,79,due_letture_concordi
PESCO,inizio fioritura – fioritura,60,69,due_letture_concordi
PESCO,inizio indurimento nocciolo – ingrossamento frutti,71,79,due_letture_concordi
PESCO,inizio indurimento nocciolo – ingrossamento frutti ingrossamento frutti,71,79,due_letture_concordi
PESCO,maturazione,81,89,due_letture_concordi
PESCO,rottura gemma a legno,3,9,due_letture_concordi
PESCO,rottura gemma a legno – bottone rosa,3,57,due_letture_concordi
PESCO,rottura gemme a legno – bottone rosa,3,57,due_letture_concordi
POMODORO,pre – trapianto,0,13,due_letture_concordi
POMODORO_INDUSTRIA,accrescimento – invaiatura 2° palco,71,83,due_letture_concordi
POMODORO_INDUSTRIA,accrescimento – invaiatura secondo palco,71,83,due_letture_concordi
POMODORO_INDUSTRIA,accrescimento – invaiatura ultimo palco,71,83,due_letture_concordi
POMODORO_INDUSTRIA,accrescimento – invaiatura ultimo palco cv.precocissime,71,83,due_letture_concordi
POMODORO_INDUSTRIA,accrescimento – invaiatura ultimo palco delle cv precocissime,71,83,due_letture_concordi
POMODORO_INDUSTRIA,accrescimento – maturazione,71,89,due_letture_concordi
